Name,Hero,TicketIconExportPath,InfoFlow,EventInfoFlow,BrawlerBoxRewardContainer,TitleTID,SubtitleTID,BoxIcon,HeroFrameLabel,BoxStampInstanceName,EventIcon,ChatSuggestionItem,GameModeRoomIcon,BoxIdle3DAnimStart,BoxIdle3DAnimEnd,BoxRotations,BoxStartFrameOffsets,GachaBgExportPath,EventBgExportPath
String,String,String,String,String,String,String,String,String,String,String,String,String,String,int,int,int,int,String,String
DancerEarlyAccess,Dancer,sc/ui.sc#icon_ticket,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,MegaBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_MINA,sc/daily_wins.sc#emoji_classic_box_mega,mina,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_mina,icon_skins_mega,50,199,0,8,sc/ui.sc#gatcha_screen_lootbox_appear,
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
FuryEarlyAccess,Fury,sc/ui.sc#icon_ticket,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,MegaBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_ZIGGY,sc/daily_wins.sc#emoji_classic_box_mega,ziggy,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_ziggy,icon_skins_mega,50,199,0,8,sc/ui.sc#gatcha_screen_lootbox_appear,
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
DaredevilEarlyAccess,Daredevil,sc/ui.sc#icon_ticket,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,MegaBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_ZIGGY,sc/daily_wins.sc#emoji_classic_box_mega,gigi,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_gigi,icon_skins_mega,50,199,0,8,sc/ui.sc#gatcha_screen_lootbox_appear,
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
BulletstormEarlyAccess,Bulletstorm,sc/ui.sc#icon_ticket,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,MegaBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT,sc/daily_wins.sc#emoji_classic_box_mega,pierce,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_generic,icon_skins_mega,50,199,0,8,sc/ui.sc#gatcha_screen_lootbox_appear,sc/ui.sc#gatcha_screen_lootbox_appear
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
MenderEarlyAccess,Mender,sc/ui.sc#icon_ticket,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,MegaBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT,sc/daily_wins.sc#emoji_classic_box_mega,glowbert,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_generic,icon_skins_mega,50,199,0,8,sc/ui.sc#gatcha_screen_lootbox_appear,sc/ui.sc#gatcha_screen_lootbox_appear
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
ShadowdemonEarlyAccess,Shadowdemon,sc/ui.sc#icon_ticket,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,MegaBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT,sc/daily_wins.sc#emoji_classic_box_mega,sirius,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_generic,icon_skins_mega,50,199,0,8,sc/ui.sc#gatcha_screen_lootbox_appear,sc/ui.sc#gatcha_screen_lootbox_appear
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
RedirecterEarlyAccess,Redirecter,sc/ui.sc#icon_ticket,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,MegaBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT,sc/daily_wins.sc#emoji_classic_box_mega,najia,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_generic,icon_skins_mega,50,199,0,8,sc/ui.sc#gatcha_screen_lootbox_appear,sc/ui.sc#gatcha_screen_lootbox_appear
,,,,,,,,,,,,,,,,60,4,,
,,,,,,,,,,,,,,,,15,,,
GladiatorEarlyAccess,Gladiator,sc/ui.sc#icon_normal_ticket,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,GladiatorBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT,sc/daily_wins.sc#emoji_classic_box_mega,damian,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_generic,icon_skins_mega,50,199,2,8,sc/ui.sc#gatcha_screen_lootbox_appear,sc/ui.sc#gatcha_screen_lootbox_appear
,,,,,,,,,,,,,,,,0,4,,
,,,,,,,,,,,,,,,,-2,,,
MagicalGirlEarlyAccess,MagicalGirl,sc/ui.sc#reward_profilebutton_7,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,GladiatorBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT,sc/daily_wins.sc#emoji_classic_box_mega,stella,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_generic,icon_skins_mega,50,199,2,8,sc/ui.sc#gatcha_screen_lootbox_appear,sc/ui.sc#gatcha_screen_lootbox_appear
,,,,,,,,,,,,,,,,0,4,,
,,,,,,,,,,,,,,,,-2,,,
RockEarlyAccess,Rock,sc/ui.sc#reward_profilebutton_7,GenericBrawlerEarlyAccessInfo,GenericBrawlerEarlyAccessEventInfo,GladiatorBox,TID_BRAWLER_EARLY_ACCESS_TITLE_DEFAULT,TID_BRAWLER_EARLY_ACCESS_SUBTITLE_DEFAULT,sc/daily_wins.sc#emoji_classic_box_mega,rock,,icon_skins_mega,sc/ui.sc#chat_letsplay_brawler_early_access_generic,icon_skins_mega,50,199,2,8,sc/ui.sc#gatcha_screen_lootbox_appear,sc/ui.sc#gatcha_screen_lootbox_appear
,,,,,,,,,,,,,,,,0,4,,
,,,,,,,,,,,,,,,,-2,,,
