Name,NameTID,InfoTID,BgItemName,BgOfferScFilename,BgOfferPopup,SkinBuyRequiresExclusiveOption,EmoteBundleName,CampaignIconExportName,DisabledFromCatalog,ShowInCatalogCollectionsSection,CatalogSortingOrder,BundledUnderCatalogCategory,CatalogNameOverrideTID,CatalogDescriptionTID,UseSecondCampaing
String,String,String,String,String,String,boolean,String,String,boolean,boolean,int,String,String,String,boolean
BRAWLIDAYS,TID_SKIN_INFO_CAMPAIGN_1_NOT_AVAILABLE,,,,,,,icon_skins_brawlmas,,,,,TID_CATALOG_NAME_BRAWLIDAYS,TID_CATALOG_DESC_BRAWLIDAYS,
LNY_2019,TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2019,,,,,,,icon_skins_lny20,,,,,TID_CATALOG_NAME_LNY,,
BRAWLOWEEN2020,TID_SKIN_INFO_CAMPAIGN_3_NOT_AVAILABLE,,,,,,,icon_skins_brawloween,,,,,,,
LINE,TID_SKIN_INFO_CAMPAIGN_4_NOT_AVAILABLE,,,,,,,icon_skins_line,,,,,,,
LNY_2020,TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2020,,,,,,,icon_skins_lny20,,,,,,,
PSG,TID_SKIN_INFO_CAMPAIGN_6_NOT_AVAILABLE,,,,,,,icon_skins_psg,,,,,,,
SC_MAKE,TID_SKIN_INFO_CAMPAIGN_7_SC_MAKE,TID_SKIN_INFO_CAMPAIGN_7_NOT_AVAILABLE,,,,,,icon_skins_make,,,,,,,
ARCHIVING,TID_SKIN_INFO_CAMPAIGN_8_NOT_AVAILABLE,,,,,,,icon_skins_archive,,,,,,,
ARCHIVED,TID_SKIN_INFO_CAMPAIGN_9_NOT_AVAILABLE,,,,,,,icon_skins_archive,,,,,,,
SC10,TID_SKIN_INFO_CAMPAIGN_10_NOT_AVAILABLE,,,,,,,icon_skins_sc10y,,,,,,,
BRAWLPASS,TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE,,,,,,,icon_skins_brawl_pass,,,,,,TID_CATALOG_DESC_BRAWLPASS,
CHINA,TID_SKIN_INFO_CAMPAIGN_12_NOT_AVAILABLE,,,,,,,icon_skins_prereg_cn,,,,,,,
SILVER,TID_SKIN_INFO_CAMPAIGN_13_NOT_AVAILABLE,,,,,,,icon_skins_silver,,TRUE,,,,,
GOLD,TID_SKIN_INFO_CAMPAIGN_14_NOT_AVAILABLE,,,,,,,icon_skins_gold,,TRUE,,,,,
WF_2020,TID_SKIN_INFO_CAMPAIGN_15_NOT_AVAILABLE,,,,,,,icon_skins_wf,,,-10,,TID_CATALOG_NAME_BSC,,
BRAWLIDAYS_2018,TID_SKIN_INFO_CAMPAIGN_BRAWLIDAYS_2018,,,,,,,icon_skins_brawlmas,,,,,,,
ANNIVERSARY2019,TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2019,,,,,,,icon_skins_anniversary,,,,,TID_CATALOG_NAME_ANNIVERSARY,,
ANNIVERSARY2020,TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2020,,,,,,,icon_skins_anniversary,,,,,,,
LNY_2021,TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2021,,,,,,,icon_skins_lny20,,,,,,,
RANKED,TID_SKIN_INFO_CAMPAIGN_RANKED,,,,,TRUE,,icon_skins_ranked,,,,,,,
LAML,TID_SKIN_INFO_CAMPAIGN_LAML,,,,,,,icon_skins_laml,,,,,,,
PUNK,TID_SKIN_INFO_CAMPAIGN_PUNK_TITLE,,,,,,,icon_skins_punk,,,,,,,
BRAWLPASS_PUNK,TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE,,,,,,,icon_skins_brawl_pass,,,,,,,
C1A,TID_SKIN_INFO_CAMPAIGN_C1A,,,,,,,icon_skins_mega,,,,,,,
RETRO,TID_SKIN_INFO_CAMPAIGN_RETRO,,,,,,,icon_skins_retro,,,,,,,
CLUBLEAGUE,TID_SKIN_INFO_CLUB_LEAGUE,,,,,,,icon_skins_club_league,,,,,,,
BRAWLOWEEN,TID_SKIN_INFO_BRAWLOWEEN,,,,,,,icon_skins_brawloween,,,,,,,
LEGENDARYSET,TID_SKIN_INFO_LEGENDARYSET_SKINS,,,,,,,icon_skins_legendary,,,,,,,
BRAWLYWOOD,TID_SKIN_INFO_BRAWLYWOOD,,,,,,,icon_skins_brawlywood,,,,,,,
BRAWLPASS_BRAWLYWOOD,TID_SKIN_INFO_CAMPAIGN_11_NOT_AVAILABLE,,,,,,,icon_skins_brawl_pass,,,,,,,
WF_2021,TID_SKIN_INFO_WF_2021,,,,,,,icon_skins_wf,,,,,,,
PIRATES,TID_SKIN_INFO_PIRATES,,,,,,,icon_skins_pirates,,,,,,,
BRAWLENTINES,TID_SKIN_INFO_BRAWLENTINES,,,,,,,icon_skins_brawlentines,,,,,,,
LNY22,TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2022,,,,,,Lny22,icon_skins_lny20,,,,,,,
ANNIVERSARY2021,TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2021,,,,,,,icon_skins_anniversary,,,,,,,
BIODOME,TID_SKIN_INFO_CAMPAIGN_BIODOME,,,,,,Biodome,icon_skins_biodome,,,,,,,
STUNTSHOW,TID_SKIN_INFO_CAMPAIGN_STUNTSHOW,,,,,,Stuntshow,icon_skins_stuntshow,,,,,,,
GOLDENWEEK,TID_SKIN_INFO_CAMPAIGN_GOLDENWEEK,,,,,,Goldenweek,icon_skins_goldenkawaii,,,,,,,
VILLAINS,TID_SKIN_INFO_CAMPAIGN_VILLAINS,,,,,,Villains,icon_skins_villains,,,,,,,
LANTERN,TID_SKIN_INFO_CAMPAIGN_LANTERN,,,,,,,icon_skins_lantern,,,,,,,
DEEPSEA,TID_SKIN_INFO_DEEPSEA,,,,,,Deepsea,icon_skins_deepsea,,,,,,,
BT21,TID_SKIN_INFO_BT21,,,,,,,icon_skins_bt21,,,,,,,
CALAMITY,TID_SKIN_INFO_OUTLAW,,,,,,,icon_skins_outlaw,,,,,,,
MECHA,TID_SKIN_INFO_MECHA,,,,,,,icon_skins_mecha,,,,,,,
GHOST_TRAIN,TID_SKIN_INFO_GHOST_TRAIN,,,,,,,icon_skins_ghosttrain,,,,,,,
ACTION,TID_SKIN_INFO_ACTION,,,,,,,icon_skins_action,,,,,,,
WF_2022,TID_SKIN_INFO_WF_2022,,,,,,,icon_skins_wf,,,,,,,
BRAWLOWEEN22,TID_SKIN_INFO_BRAWLOWEEN,,,,,,,icon_skins_brawloween,,,,,,,
RETRO22,TID_SKIN_INFO_CAMPAIGN_RETRO,,,,,,,icon_skins_retro,,,,,,,
LASTBOX,TID_SKIN_INFO_CAMPAIGN_LASTBOX,,,,,,,icon_skins_lastbox,,,,,,,
DARKMAS,TID_SKIN_INFO_DARKMAS,,,,,,,icon_skins_darkmas,,,,,,,
CANDYLAND,TID_SKIN_INFO_CANDYLAND,,,,,,,icon_skins_candyland,,,,,,,
LNY_2023,TID_SKIN_INFO_CAMPAIGN_LUNAR_BRAWL_2023,,,,,,,icon_skins_lny20,,,,,,,
WC_2022,TID_SKIN_INFO_WC_2022,,,,,,,icon_skins_wf,,,,,,,
ANNIVERSARY2022,TID_SKIN_INFO_CAMPAIGN_ANNIVERSARY_2022,,,,,,,icon_skins_anniversary,,,,,,,
MASKS,TID_SKIN_INFO_MASKS,,,,,,,icon_skins_masks,,,,,,,
HUB,TID_SKIN_INFO_HUB,,,,,,,icon_skins_hub,,,,,,,
RANKED_OLD,TID_SKIN_INFO_CAMPAIGN_RANKED,,,,,,,icon_skins_ranked,,,,,,,
BUNNY_BRIGADE,TID_SKIN_INFO_CAMPAIGN_BUNNY,,,,,,,icon_skins_bunny_brigade,,,,,,,
JUNGLE,TID_SKIN_INFO_CAMPAIGN_JUNGLE,,,,,,,icon_skins_jungle,,,,,,,
OLYMPUS,TID_SKIN_INFO_CAMPAIGN_GREEK,,,,,,,icon_skins_olympus,,,,,,,
CLASHIP,TID_SKIN_INFO_CAMPAIGN_CLASHIP,,,,,,,icon_skins_claship,,,,,,,
LUNAREVENT,TID_SKIN_INFO_CAMPAIGN_LUNAREVENT,,,,,,,icon_skins_moonfestival,,,,,,,
SUMMER,TID_SKIN_INFO_SUMMER,,,,,,,icon_skins_summer,,,,,,,
ONCEUPON,TID_SKIN_INFO_CAMPAIGN_ONCEUPON,,,,,,,icon_skins_onceupon,,,,,,,
OUTLAWS,TID_SKIN_INFO_CAMPAIGN_OUTLAWS,,,,,,,icon_skins_outlaws,,,,,,,
