Name,WorldNumber,IconExportPath,TierTrophyThresholds,NameTID
string,int,String,int,string
World1,1,icon_trophyworld_townsquare,0,TID_TROPHY_WORLD_NAME_1
,,,500,
,,,700,
World2,2,icon_trophyworld_retropolis,1000,TID_TROPHY_WORLD_NAME_2
,,,1500,
,,,1700,
World3,3,icon_trophyworld_frontierworld,2000,TID_TROPHY_WORLD_NAME_3
,,,2500,
,,,2800,
World4,4,icon_trophyworld_hauntedhaven,3000,TID_TROPHY_WORLD_NAME_4
,,,3500,
,,,3700,
World5,5,icon_trophyworld_adventureland,4000,TID_TROPHY_WORLD_NAME_5
,,,4500,
,,,5000,
World6,6,icon_trophyworld_mysticmountain,6000,TID_TROPHY_WORLD_NAME_6
,,,6500,
,,,7000,
World7,7,icon_trophyworld_brawliwood,8000,TID_TROPHY_WORLD_NAME_7
,,,8500,
,,,9000,
World8,8,icon_trophyworld_fairytalecastle,10000,TID_TROPHY_WORLD_NAME_8
,,,11000,
,,,12000,
,,,13000,
,,,15000,
World9,9,icon_trophyworld_tomorroworld,16000,TID_TROPHY_WORLD_NAME_9
,,,19000,
,,,20000,
,,,22000,
,,,25000,
World10,10,sc/trophy_world_common.sc#icon_trophyworld_waterland,30000,TID_TROPHY_WORLD_NAME_10
,,,35000,
,,,40000,
,,,45000,
World11,11,icon_trophyworld_chronotrap,50000,TID_TROPHY_WORLD_NAME_11
,,,60000,
,,,65000,
,,,70000,
,,,100000,
